id,toxic,obscene,threat,insult,identity_hate
"""userName"":""mrch****"",""userProfileImage""",0.8960636568917775,0.003912529729328116,0.004774531634681094,0.7909532797066668,0.06411987766906817
"""userName"":""leeh****"",""userProfileImage""",0.08036365399917873,0.0022473183473662524,0.00256209456905555,0.15440930210409173,0.017054231304666264
"""userName"":""munj****"",""userProfileImage""",0.49648913643596243,0.05931701396151105,0.017604600068527043,0.13638273591692845,0.21402757132319197
"""userName"":""hanz****"",""userProfileImage""",0.37748720120871954,0.00353975871859698,0.00447606867293084,0.14543539658992102,0.057532020338286534
"""userName"":""love****"",""userProfileImage""",0.08500682387771841,0.003330511024922221,0.004140002524059797,0.048457488644275605,0.02853740701595514
"""userName"":""rkdm****"",""userProfileImage""",0.0765866202703178,0.003149436221748624,0.005229495842766933,0.052479524046349486,0.0279541565105061
"""userName"":""cjy4****"",""userProfileImage""",0.10292746554912609,0.0026072523903816086,0.0023190312088735596,0.1063694101670583,0.03672004989194631
"""userName"":""gage****"",""userProfileImage""",0.8628317586385958,0.003512214792946478,0.003850051575069527,0.17095290867424592,0.6836055629780932
"""userName"":""kgg0****"",""userProfileImage""",0.4756296375349733,0.0025377701167198503,0.003437838532768582,0.18141422906372548,0.042014100390945414
"""userName"":""jinw****"",""userProfileImage""",0.16983937480471178,0.005820663395931038,0.003731101995071032,0.1022405250749463,0.026410748857368598
"""userName"":""hyel****"",""userProfileImage""",0.8528086540381715,0.003339218819351112,0.004164244909742294,0.10936736993059792,0.03038637874973636
"""userName"":""knjk****"",""userProfileImage""",0.4756296375349733,0.0025377701167198503,0.003437838532768582,0.18141422906372548,0.042014100390945414
"""userName"":""hero****"",""userProfileImage""",0.4536346540082571,0.0026098287419619535,0.004573815033863852,0.1369066833622196,0.055699402646883056
"""userName"":""dago****"",""userProfileImage""",0.18890951524759111,0.008057556654450583,0.026195075907789876,0.1373538758594455,0.06951861145378009
"""userName"":""csg6****"",""userProfileImage""",0.15704246448932715,0.005539401067232339,0.004064229574357261,0.05081795870605874,0.04478252634591937
"""userName"":""term****"",""userProfileImage""",0.30637512159371877,0.0033301716287234507,0.004127714406479525,0.22787099918676132,0.19259822138002536
"""userName"":""gogu****"",""userProfileImage""",0.8259282732883261,0.0032671948756939954,0.004112587111054095,0.6992227138933576,0.023352590020009757
"""userName"":""fore****"",""userProfileImage""",0.44193972709043355,0.012190965838347629,0.06688920652844182,0.33588430308796596,0.12908695818084542
"""userName"":""wtfi****"",""userProfileImage""",0.681866925120646,0.010970532610220575,0.00254022044828869,0.47394166416363037,0.06034000894041789
"""userName"":""16to****"",""userProfileImage""",0.11212021803281605,0.002286808463005385,0.002818438444514358,0.09517712521855022,0.012168634472390083
"""userName"":""wonh****"",""userProfileImage""",0.11827646702156468,0.0031970542709991853,0.004072134634236272,0.07647564280081066,0.04584677756822498
"""userName"":""kudi****"",""userProfileImage""",0.6458049417311649,0.0020829859826694405,0.004454993219800435,0.08737665057287311,0.4941908683330133
"""userName"":""bk_s****"",""userProfileImage""",0.18569076652275177,0.0028171476519664894,0.003098297826262616,0.05543660737290661,0.04410258358613404
"""userName"":""ldj1****"",""userProfileImage""",0.29238124811196203,0.07828014383045671,0.002410907303059901,0.028210297754553196,0.033825489875215296
"""userName"":""kwon****"",""userProfileImage""",0.14503808140552416,0.002403508071895734,0.0053102816746427054,0.10086372164960486,0.05504128660994521
"""userName"":""calt****"",""userProfileImage""",0.8010983005084596,0.0032535088932005274,0.003949547277401881,0.7196137881761294,0.049746891348909326
"""userName"":""jang****"",""userProfileImage""",0.7941757098530182,0.0027150195303139077,0.0032929389403895566,0.724450680244845,0.04378747886729245
"""userName"":""hajs****"",""userProfileImage""",0.6252059167902206,0.001959160303890237,0.0037422028790237826,0.6189299487743837,0.028668127395822526
"""userName"":""aabu****"",""userProfileImage""",0.8524760899441293,0.005615935888043814,0.003745021468635082,0.1314199534724042,0.04469187607601895
"""userName"":""kafk****"",""userProfileImage""",0.12244861605824267,0.003398771450140739,0.004254217283031383,0.06911537133251536,0.03747576657377787
"""userName"":""viol****"",""userProfileImage""",0.25631322916769994,0.0021442205216035005,0.005995404816027098,0.08534003720695987,0.047625382832662794
"""userName"":""kodd****"",""userProfileImage""",0.07054069266152209,0.008776410742803704,0.0018178876896960464,0.027583345877558136,0.02040016804391654
"""userName"":""star****"",""userProfileImage""",0.17497544491742192,0.006807704728852217,0.0038956996447910034,0.018086980937753547,0.0355888307018511
"""userName"":""sshc****"",""userProfileImage""",0.12461210343180933,0.004838364646928395,0.0034246116178454768,0.11341926591268027,0.0854881888050458
"""userName"":""rabb****"",""userProfileImage""",0.9331898375877178,0.015005431902641423,0.033617939284300326,0.6766678638370783,0.05754342507406172
"""userName"":""cork****"",""userProfileImage""",0.8110844605165939,0.003811037612401374,0.00409772911738404,0.7594789236060548,0.026384640244427195
"""userName"":""nera****"",""userProfileImage""",0.7527856828114411,0.0032262817887719615,0.009584403927997219,0.6994409131362889,0.658393752430486
"""userName"":""dwoo****"",""userProfileImage""",0.5402146930719832,0.00830717797721384,0.0031731765828733943,0.02410680711353249,0.0156612574892111
"""userName"":""outl****"",""userProfileImage""",0.40254511481251526,0.023625041169166944,0.004421428336328024,0.33719882630098164,0.0512646807903155
"""userName"":""work****"",""userProfileImage""",0.5572587987675247,0.0038649190486927136,0.0032698113359804558,0.02870085615009451,0.5553339452086351
"""userName"":""kgy7****"",""userProfileImage""",0.8520518666693782,0.0023761363749114244,0.014670367008723656,0.8296304960792166,0.7120381784502211
"""userName"":""hase****"",""userProfileImage""",0.6023926151181006,0.0029574818544617614,0.0034699073838042396,0.30391388870018016,0.01100950081649372
"""userName"":""samc****"",""userProfileImage""",0.12754935581732468,0.0031075005834101535,0.005578893091033978,0.14085898238539507,0.09476956452961904
"""userName"":""lala****"",""userProfileImage""",0.37748720120871954,0.00353975871859698,0.00447606867293084,0.14543539658992102,0.057532020338286534
"""userName"":""cyk3****"",""userProfileImage""",0.13380435804561228,0.007562084905357888,0.0030970211032885693,0.049028136152976166,0.0417140053409039
"""userName"":""jax-****"",""userProfileImage""",0.12323012604008278,0.003154803943005664,0.00394857384421956,0.07319131522825213,0.03517102821506361
"""userName"":""k261****"",""userProfileImage""",0.07552673087030799,0.0027563927222169155,0.00340470529348287,0.018464052524553076,0.028492299155181245
"""userName"":""rihu****"",""userProfileImage""",0.08664291928006866,0.005351508153948552,0.0019820054470138775,0.08158186703049157,0.02030790318343936
